label,features
0,"[12.0,0.0,3.0]"
0,"[15.0,0.0,2.0]"
0,"[7.0,1.0,0.0]"
0,"[15.0,0.0,0.0]"
0,"[12.0,4.0,2.0]"
0,"[17.0,0.0,2.0]"
0,"[14.0,4.0,0.0]"
0,"[1.0,0.0,3.0]"
0,"[12.0,0.0,2.0]"
0,"[1.0,3.0,3.0]"
0,"[8.0,3.0,0.0]"
0,"[1.0,1.0,3.0]"
0,"[8.0,3.0,0.0]"
0,"[7.0,2.0,2.0]"
0,"[12.0,2.0,3.0]"
0,"[6.0,4.0,3.0]"
0,"[8.0,2.0,2.0]"
0,"[7.0,4.0,3.0]"
0,"[4.0,3.0,0.0]"
0,"[2.0,2.0,2.0]"
0,"[15.0,2.0,3.0]"
0,"[12.0,2.0,2.0]"
0,"[2.0,0.0,2.0]"
0,"[8.0,3.0,3.0]"
0,"[6.0,0.0,3.0]"
0,"[8.0,4.0,3.0]"
0,"[12.0,0.0,2.0]"
0,"[7.0,2.0,3.0]"
0,"[17.0,2.0,2.0]"
0,"[1.0,1.0,2.0]"
0,"[13.0,1.0,3.0]"
0,"[15.0,0.0,3.0]"
0,"[17.0,4.0,2.0]"
0,"[14.0,4.0,3.0]"
0,"[14.0,4.0,2.0]"
0,"[4.0,2.0,2.0]"
0,"[1.0,0.0,2.0]"
0,"[2.0,1.0,3.0]"
0,"[6.0,1.0,3.0]"
0,"[6.0,3.0,3.0]"
0,"[8.0,3.0,3.0]"
0,"[2.0,1.0,0.0]"
0,"[17.0,4.0,3.0]"
0,"[1.0,4.0,3.0]"
0,"[8.0,1.0,3.0]"
0,"[12.0,3.0,0.0]"
0,"[1.0,3.0,3.0]"
0,"[1.0,0.0,2.0]"
0,"[4.0,3.0,3.0]"
0,"[13.0,3.0,3.0]"
0,"[2.0,0.0,3.0]"
0,"[12.0,1.0,3.0]"
0,"[1.0,3.0,3.0]"
0,"[8.0,1.0,0.0]"
0,"[6.0,1.0,2.0]"
0,"[1.0,0.0,3.0]"
0,"[8.0,4.0,3.0]"
0,"[4.0,0.0,0.0]"
0,"[17.0,2.0,2.0]"
0,"[4.0,2.0,3.0]"
0,"[7.0,2.0,2.0]"
0,"[1.0,3.0,2.0]"
